별점,리뷰
5,추천받아서 친구 선물해줬는데 무난해서 오래입을 수 있을것같아요~ 예뻐용
5,배송도 너무 빠르고 편하게 잘 입고
5,가격대비 만족큐 합니다
2,오버핏적당하고 편하고 이뻐요 근데안감털이 너무많이 묻어나고 지퍼마감불량이라 교환하려다 급하게입어야해서 제가 꿰매서 입었어요 ㅠ
5,입었을 때 불편함 없고 사이즈도 적당해서 자주 입을 것 같네요~!
5,가격대비 품질이 너무 좋아요~~
5,너무편하고 좋네요 딸이너무맘에든데요
5,정사이즈 가격도 조아요
5,기모있고 넉넉하며 옷이 짱짱해요
4,안에흰색털 너무많이빠지네요ㅠㅠ
5,아주편하다고 중2 딸아이가 좋아해요
3,기본 그레이 후드집업이에요. 어깨선이 밑으로 내려와 있는 디자인 입니다. 박음질이 제대로 안되어 있던건지 착용 몇 번 안했는데 주머니쪽이 뜯겼어요.
4,사이즈 커요 아주 루즈하게 입으시려면 l 추천함돠
4,중학생 딸아이가 직접 고른거예요. 원하던 스타일입니다.
5,항상 실망시키지않는 퀄리티. 가격대비 참 잘만든다. 요런느낌. 부자재 하나하나 남들과 다른. 핏은 두말하면 잔소리. 더블유브이프로젝트만의 로고 자수까지. 너므너므 예뻐요. 잘입을게욥!
5,딸아이가 좋아하네요
5,가성비 좋습니다~~~
5,딸을 위해 샀는데 너무 마음에 들어 하네요~
4,옷감도 좋구 지금 입기엔 딱이네요
5,예쁘고  요즘날씨 입기 딱좋구요 아주좋습니다 ~배송도 빠르네요
5,160인데 엉덩이 덮을 정도이고 오버사이즈라 좋음
5,기모가 살짝 들어가 있고 소재가 도톰하니 고급졔 보입니다
5,검정색 입어보고 다시 주문해요 아이가 잘 입고 다닙니다
5,소재도 부드럽고 s인데도 핏이 꽤 넉넉해요 엉덩이 덮으려면 더 큰걸 사야할거같긴하네요
5,입기너무편하고 재질도 좋아요
5,너무 예쁘네요 잘 입겠습니당
5,아들 주문해줫는데 너무좋아해요^ 감사합니다
4,기본 후드집업이에요  중3 아들 좀 큰듯하지만 요즘 크게입고다니드라구요 ^^기모잇는 모델이에요ㅡ
5,중학교 입학하는 딸이 입으니 넉넉해요 옷도 예쁘고 잘샀어요
5,마른체격은 M사이즈가 좋을것 같구요  체격있는 남자분이 L이 딱이더라구요
5,저는 여자인데 좀 박시하게 입고싶어서 M사이즈를 샀는데요. 그래도 너무 크네요 105입는 남편한테 딱맞아요. 여자는 무조건 작은걸로 추천합니다
4,엄마가 입기엔 좀 크고 (164)  아빠가 입기엔 좀 작고 신랑이 입는걸로.. (181
4,늦가을 쌀쌀할때 아주 따뜻하게 잘입었습ㄴ다
5,예뻐요~~~!! 잘산듯
5,좀 사이즈가 크지만 입기에는 엄청 편해요
5,아~같은스타일 같은색 후드집업 3번째만에 드디어 찾네요 굿
5,옷도 가볍고 보온성이 아주 좋습니다
5,핏이 너무이쁘게나와서 좋았습니다!!
4,정확한 배송이  좋았고 상품도 마음에 들었어요.
4,생각보나 좀 얇아요 좀 두꺼웠으면
5,두께도 좋고 모양도 딱 잡혀잇구 넉넉해서 좋아여~!! 굳!
5,도톰한 기모로 따뜻하고 요즘 유행하는 핏이어서 교복에 입기 딱이예요
5,모던한 스타일에 질감도 좋고 입기 좋아요^^
4,좋인요좋인요조ㅎ아야ㅡ좋아요
5,옷이 너무 예쁘고 따듯해요 디자인도 만족합니다
5,키 162  사이즈 66. 여자사람. m사이즈 구매함. 넉넉하고 예쁨. 기모도 부드럽고 지퍼 등 디테일도 굿.
5,핏이 정말 큰 편이지만 사이즈 맞거 입으면 이쁜편이에요
5,올 봄에 노란색 사서 입었는데 너무 편하고 따숩고 예뻐서 그레이로 하나 더 주문했어요 강추에요
3,약간가오리핏이네요 허리가좀짧습니다
5,옷감도 되게 좋고 편합니다 좋아용
3,옷 편하고 좋아요!!!
5,손목이 늘어나지않아서 좋아요. 자주입어서그런지 주머니있는 앞쪽이 약간 보플이 일어나려고 해요.
5,생각한것보다 사이즈가 크네요 그래도 잘입고 다니고 있습니다
4,소재며 가격 모두 만족합니다
5,코코아색 구매했는데 남편이 좋다고 자기것도 사달라길래 그레이로 하나더 샀네요.그레이도 너무 예뿌네요
5,아이가 좋아해요 작을까걱정했는데 오버핏으로 잘입고다녀요
5,핏 너무 예쁘고 제가 원하던 두툼한 집업 :) 아주 좋아요
5,따뜻하고 예쁘네요 S과M 사이즈가 차이가 좀커요
5,디자인도 좋고 소재도 핏도 좋고 배송 빨라 좋아요. 중학생이 입기 딱이예요
5,아주 만족스럽네요! 지금같은날씨에 입기 딱좋아요
5,디자인이 생각보다 더 마음에 들어요 강추
5,정말 좋습니다 정말 좋습니다
4,전체적 사이즈에 비례해서 팔길이가 조금 짧은감이 있어요. 가격대비 좋네요.
5,아들이 고른옷입니다. 편하고 예쁘다고 하네요.
5,잘맞는다고합니다 맘에들어하네요
5,배송 빠르고 옷 이쁘네요...
4,어여요노너타캐 누나여ㅓㄴ. 앙
4,모든 상품이 맘에 드는편이에요
4,tgreht gfd hgter gred
3,많이 추울때 입는 두꺼운  후드용입니다.
5,착용감 좋고 디자인 예쁘고 다 좋아요
4,정말 맘에들고 좋았는데... 모든 옷들이 그렇겠지만 건조기 돌리지 마세요... 도라에몽 작게작게빔에 맞은 것마냥 쭐었는데 원래 오버핏이던 옷이라 그런지 팔이 너무 짧아 보이더라구요.. 옷 자체는 예쁘구 편해서 맘에 들었씁니다!^^
3,가볍게  입을만해요
4,조아요조아요조아요조아요
3,잘입고있어오ㅡ 잘입고있엉ㆍ느
5,키158여자  s사이즈  궁딩이 거의 다 덮는정도 길이 기모좀 있고 두께는 얇지않고 적당함 편하게 주구장창입기에 매우좋아용
3,다 좋은데 소매가 짧아요... 손목뼈에 달랑 와서 입긴 입는데 좀 아쉬워요..
5,빠른배송 바느질 가격대비퀄리티 좋음
5,여자55인데 오버핏으로예쁘게맞았어용
5,기모가 따뜻하게있어서좋았고 끈이 독특하면서도 예뻐서좋았어요. 팔길이는 긴편이에요!
5,칼같은 배송 감사합니당!
3,낯ㅇㄹㅎ퍼누뉴타차우아타카타
5,안에 기모가 되어 있어 따뜻하게 잘 입을 듯 합니다. 아들이 좋아하네요. 180키에 L사이즈 좋네요.
5,생각보다 편하고 좋아요..
5,가격대비 품질만족스럽습니다
5,배송 총알 배송이거 잘쓸게여
5,가성비 값 제질굿 핏굿
5,제가 통통하고 키도 162라 진짜 사이즈 걱정 많이했었는데 s샀는데 딱 맞네요! 괜한 걱정이였던것같아요ㅎㅎ
